0002, scenic painting
0DFB, Green argyle sweater
0DFC, bonsai shelf
0DFD, fish-drying rack
0DFE, book
0DFF, fishing-boat flag
0E00, writing poster
0E02, magazine
0E03, fishing-rod stand
0E04, signpost
0E06, desktop computer
0E07, birthday candles
0E08, birthday cake
0E09, birthday table
0E0A, birthday sign
0E0B, park clock
0E0C, pool
0E0D, Red flower sweater
0E0F, Ivory tennis sweater
0E16, Purple desert outfit
0E17, White mummy outfit
0E19, White bone costume
0E1A, Red wrestler uniform
0E1B, Red baseball uniform
0E1C, Navy blue pilot's uniform
0E1D, Black suit of lights
0E1E, Red milkmaid dress
0E1F, open-frame kitchen
0E20, system kitchen
0E21, stall
0E22, cutting board
0E23, soup kettle
0E24, toy cockroach
0E25, loft bed with desk
0E26, floor seat
0E27, toy box
0E28, cute bed
0E2E, Camel yodel sweater
0E2F, Gray snowy sweater
0E30, Ice blue yodel cardigan
0E31, Red Aran-knit sweater
0E33, Pink dreamy sweater
0E34, White space suit
0E3B, Beige Aran-knit cardigan
0E46, oil lamp
0E47, Red racing outfit
0E4A, bamboo basket
0E4C, Red skirt with suspenders
0E4E, Navy blue box-skirt uniform
0E4F, Gray collarless coat
0E52, Yellow & navy thick-stripes shirt
0E54, Blue denim overalls
0E57, Gray sweatshirt
0E58, cardboard box
0E59, White sailor-collar dress
0E5A, Green henley shirt
0E5B, hay bed
0E5C, Black gilet and shirt
0E5D, Blue vertical-stripes shirt
0E60, Avocado coverall coat
0E61, piano bench
0E63, plain sink
0E64, coconut juice
0E65, Garnet sari
0E66, Blue adventure dress
0E67, Green guayabera shirt
0E68, Black short peacoat
0E69, sauna heater
0E6A, Black collarless shirt
0E6C, plain wooden shop sign
0E6E, Ochre heavy-duty shirt
0E70, Navy blue sweetheart dress
0E71, portable radio
0E72, Red bowling shirt
0E73, fish print
0E74, Blue V-neck sweater
0E75, writing desk
0E76, writing chair
0E77, Green fairy dress
0E78, Black kimono sandals
0E79, White boa fleece
0E7A, Brown tweed jacket
0E7B, Blue suspender outfit
0E7C, Brown tweed pants
0E7D, white windflowers
0E7E, white-windflower bag
0E7F, white-windflower stems
0E80, white-windflower buds
0E81, orange windflowers
0E82, orange-windflower bag
0E83, orange-windflower stems
0E84, orange-windflower buds
0E85, blue windflowers
0E86, blue-windflower stems
0E87, blue-windflower buds
0E88, pink windflowers
0E89, pink-windflower stems
0E8A, pink-windflower buds
0E8B, red windflowers
0E8C, red-windflower bag
0E8D, red-windflower stems
0E8E, red-windflower buds
0E8F, purple windflowers
0E90, purple-windflower stems
0E91, purple-windflower buds
0E92, white hyacinths
0E93, white-hyacinth bag
0E94, white-hyacinth stems
0E95, white-hyacinth buds
0E96, yellow hyacinths
0E97, yellow-hyacinth bag
0E98, yellow-hyacinth stems
0E99, yellow-hyacinth buds
0E9A, pink hyacinths
0E9B, pink-hyacinth stems
0E9C, pink-hyacinth buds
0E9D, orange hyacinths
0E9E, orange-hyacinth stems
0E9F, orange-hyacinth buds
0EA0, red hyacinths
0EA1, red-hyacinth bag
0EA2, red-hyacinth stems
0EA3, red-hyacinth buds
0EA4, blue hyacinths
0EA5, blue-hyacinth stems
0EA6, blue-hyacinth buds
0EA7, purple hyacinths
0EA8, purple-hyacinth stems
0EA9, purple-hyacinth buds
0EAA, white mums
0EAB, white-mum bag
0EAC, white-mum stems
0EAD, white-mum buds
0EAE, yellow mums
0EAF, yellow-mum bag
0EB0, yellow-mum stems
0EB1, yellow-mum buds
0EB2, purple mums
0EB3, purple-mum stems
0EB4, purple-mum buds
0EB5, pink mums
0EB6, pink-mum stems
0EB7, pink-mum buds
0EB8, red mums
0EB9, red-mum bag
0EBA, red-mum stems
0EBB, red-mum buds
0EBC, golden candlestick
0EBD, terrarium
0EBE, Libra scale
0EBF, hanging terrarium
0EC0, brick well
0EC2, green-mum stems
0EC3, green-mum buds
0EC7, den desk
0EC8, den chair
0EC9, potted ivy
0ECA, pink-azalea start
0ECB, young pink azalea
0ECC, pink-azalea bush
0ECE, yellow-hibiscus start
0ECF, young yellow hibiscus
0ED0, yellow-hibiscus bush
0ED2, pink-hydrangea start
0ED3, young pink hydrangea
0ED4, pink-hydrangea bush
0ED6, blue-hydrangea start
0ED7, young blue hydrangea
0ED8, blue-hydrangea bush
0EDA, pine bonsai tree
0EDC, Navy blue layered shirt
0EDD, mush parasol
0EDE, mush partition
0EE0, mush log
0EE2, golden dishes
0EE3, Black lacy shirt
0EE8, streetlamp
0EE9, spider web
0EEA, pennant
0EEB, oil-barrel bathtub
0EEC, fan
0EED, air circulator
0EEE, pro tape recorder
0EEF, red-cosmos sprouts
0EF0, red-cosmos plant
0EF1, white-cosmos sprouts
0EF2, white-cosmos plant
0EF3, yellow-cosmos sprouts
0EF4, yellow-cosmos plant
0EF6, pink-cosmos plant
0EF8, orange-cosmos plant
0EFA, black-cosmos plant
0EFB, white-tulip sprouts
0EFC, white-tulip plant
0EFD, red-tulip sprouts
0EFE, red-tulip plant
0EFF, yellow-tulip sprouts
0F00, yellow-tulip plant
0F02, pink-tulip plant
0F04, orange-tulip plant
0F06, purple-tulip plant
0F08, black-tulip plant
0F09, white-pansy sprouts
0F0A, white-pansy plant
0F0B, red-pansy sprouts
0F0C, red-pansy plant
0F0D, yellow-pansy sprouts
0F0E, yellow-pansy plant
0F10, orange-pansy plant
0F12, purple-pansy plant
0F14, blue-pansy plant
0F15, white-rose sprouts
0F16, white-rose plant
0F17, red-rose sprouts
0F18, red-rose plant
0F19, yellow-rose sprouts
0F1A, yellow-rose plant
0F1C, pink-rose plant
0F1E, orange-rose plant
0F20, purple-rose plant
0F22, black-rose plant
0F24, blue-rose plant
0F26, gold-rose plant
0F2D, white-lily sprouts
0F2E, white-lily plant
0F2F, red-lily sprouts
0F30, red-lily plant
0F31, yellow-lily sprouts
0F32, yellow-lily plant
0F34, pink-lily plant
0F36, orange-lily plant
0F38, black-lily plant
0F39, white-windflower sprouts
0F3A, white-windflower plant
0F3B, orange-windflower sprouts
0F3C, orange-windflower plant
0F3E, blue-windflower plant
0F40, pink-windflower plant
0F41, red-windflower sprouts
0F42, red-windflower plant
0F44, purple-windflower plant
0F45, white-hyacinth sprouts
0F46, white-hyacinth plant
0F47, yellow-hyacinth sprouts
0F48, yellow-hyacinth plant
0F4A, pink-hyacinth plant
0F4C, orange-hyacinth plant
0F4D, red-hyacinth sprouts
0F4E, red-hyacinth plant
0F50, blue-hyacinth plant
0F52, purple-hyacinth plant
0F53, white-mum sprouts
0F54, white-mum plant
0F55, yellow-mum sprouts
0F56, yellow-mum plant
0F58, purple-mum plant
0F5A, pink-mum plant
0F5B, red-mum sprouts
0F5C, red-mum plant
0F5E, green-mum plant
0F63, Camel chesterfield coat
0F65, Brown checkered chesterfield coat
0F67, ironwood DIY workbench
0F6A, outdoor table
0F6B, outdoor bench
0F6C, accessories stand
0F6D, anthurium plant
0F6E, antique chair
0F6F, antique console table
0F70, antique table
0F71, antique phone
0F72, antique clock
0F73, antique vanity
0F74, antique bureau
0F75, antique bed
0F76, antique mini table
0F77, antique wardrobe
0F78, handy water cooler
0F79, fortune-telling set
0F7A, inflatable sofa
0F7B, film projector
0F7D, painting set
0F7E, big festive tree
0F7F, broom and dustpan
0F80, homework set
0F81, toy centipede
0F82, imperial decorative shelves
0F83, imperial partition
0F84, imperial chest
0F85, imperial bed
0F86, imperial low table
0F87, orange end table
0F88, orange wall-mounted clock
0F89, shell arch
0F8A, shell partition
0F8B, shell stool
0F8C, shell table
0F8E, shell fountain
0F8F, shell bed
0F90, shell lamp
0F92, wall-mounted TV (20 in.)
0F93, wall-mounted phone
0F97, festive tree
0F98, key holder
0F99, analog kitchen scale
0F9B, cute DIY table
0F9C, cute wall-mounted clock
0F9D, cute wardrobe
0F9E, cute sofa
0F9F, cute chair
0FA0, cute tea table
0FA1, cute vanity
0FA2, cute floor lamp
0FA3, cute music player
0FA6, climbing wall
0FA8, kettle bathtub
0FA9, cordless phone
0FAB, cherry speakers
0FAC, cherry lamp
0FAD, punching bag
0FAE, folding floor lamp
0FAF, shower booth
0FB0, lab-experiments set
0FB1, shower set
0FB3, stand mixer
0FB7, pants press
0FB9, unglazed dish set
0FBA, utility sink
0FBB, floral swag
0FBC, retro radiator
0FBD, rotary phone
0FBE, bathroom towel rack
0FC1, traditional tea set
0FC2, scattered papers
0FC3, log garden lounge
0FC4, log decorative shelves
0FC5, log wall-mounted clock
0FC6, log stool
0FC7, log chair
0FC8, log dining table
0FC9, log bed
0FCA, log bench
0FCB, log round table
0FCC, log extra-long sofa
0FCD, rattan waste bin
0FCE, rattan end table
0FCF, rattan stool
0FD0, rattan towel basket
0FD1, rattan wardrobe
0FD2, rattan table lamp
0FD3, rattan vanity
0FD4, rattan bed
0FD5, rattan armchair
0FD6, rattan low table
0FE2, illuminated tree
0FE3, tabletop festive tree
0FE4, table setting
0FE5, table lamp
0FE6, street organ
0FE7, electronics kit
0FE8, toilet-cleaning set
0FE9, classic pitcher
0FEA, illuminated reindeer
0FEB, gong
0FEC, nail-art set
0FED, party garland
0FEE, barbell
0FF0, long bathtub
0FF1, camping cot
0FFD, bamboo drum
0FFE, floating-biotope planter
1002, bidet
1003, formal paper
1004, fire pit
1005, fax machine
1006, poolside bed
1008, frying pan
1009, plasma ball
100A, pendulum clock
100B, infused-water dispenser
100C, illuminated present
100D, double-door refrigerator
100E, essay set
100F, old-fashioned alarm clock
1011, hose reel
1012, tissue box
1014, whiteboard
1015, wood-burning stove
1016, magnetic knife rack
1017, macrame tapestry
1019, marimba
101A, cartoonist's set
101B, mini-cactus set
101C, wooden fish
101D, wooden bookshelf
101F, peach chair
1020, peach surprise box
1021, monstera
1022, coconut wall planter
1023, illuminated snowflakes
1024, yucca
1025, double-sided wall clock
1026, apple chair
1027, freezer
1029, diner chair
102A, diner counter chair
102B, diner counter table
102C, retro gas pump
102D, diner sofa
102E, diner dining table
102F, diner neon sign
1030, diner neon clock
1031, Red striped shirt
1032, Green striped shirt
1033, Yellow striped shirt
1034, Purple striped shirt
1035, Navy blue striped shirt
1036, Beige cargo shorts
1037, Camel simple knit sweater
103A, Brown oversized shawl overshirt
103B, Blue mountain parka
103C, Green mountain parka
103D, Black mountain parka
103E, Beige sweater dress
103F, Dark brown sweater dress
1040, Orange parka dress
1041, Blue parka dress
1042, Green parka dress
1043, Pink parka dress
1044, Yellow overall dress
1045, Beige overall dress
1046, Red overall dress
1047, Beige layered tank dress
1048, Blue layered tank dress
1049, Brown layered tank dress
104B, Green sprite costume
104C, Red peacoat
104D, Beige peacoat
104E, Gray peacoat
104F, Brown chino pants
1050, Navy blue chino pants
1051, Avocado chino pants
1052, Gray chino pants
1057, Yellow two-tone pants
1058, Red two-tone pants
1059, Blue two-tone pants
105A, Light blue denim pants
105B, Navy blue denim pants
105C, Black denim pants
105D, sturgeon
105E, tilapia
105F, betta
1060, snapping turtle
1061, golden trout
1062, rainbowfish
1063, Pink jogging shorts
1066, White young-royal shirt
1068, ToolGuiterTkk
1069, anchovy
106A, mahi-mahi
106B, suckerfish
106C, barreleye
106D, Mint fitness tank
106F, Brown flight jacket
1073, Rainbow tie-dye shirt
1074, Navy blue fuzzy vest
107A, BottomsTexSkirtBoxSza00
107C, Navy blue quilted down jacket
107D, NpcSpShoesSzaPumps
107E, Ruby red long pleated skirt
107F, White tennis skirt
1082, basketball hoop
1084, FtrMydesignEasel
1085, FtrMydesignEaselWall
1086, glass holder with candle
108B, Black rimmed glasses
108C, Brown square glasses
108D, Pink heart shades
108E, Black browline glasses
108F, Gray octagonal glasses
1090, Yellow star shades
1091, Black round shades
1092, Red triangle shades
1095, delivery box
1096, Blue denim skirt
1097, White peasant blouse
1098, Blue nightgown
1099, White judogi
109B, Light blue worn-out cutoffs
109C, Black long polka skirt
109D, Green tube top
109E, Blue hickory-stripe pants
109F, Red chain pants
10A0, Blue down pants
10A1, Beige long chino skirt
10A4, BottomsTexPantsNormalRco00
10A6, Black striped dress
10A7, Gold double-bridge glasses
10A9, Black linen dress
10AA, Blue down skirt
10AB, Gray muscle tank
10AD, green-leaf pile
10AE, yellow-leaf pile
10AF, red-leaf pile
10B1, Blue wizard's robe
10B2, Blue denim cutoffs
10B3, Navy blue striped tee
10B5, Navy blue puffy vest
10B6, TopsTexTopOuterLRco00
10B7, frozen-treat set
10BA, Black glass-bottle glasses
10BB, Gray sporty skirt
10BD, Black nylon jacket
10BE, Brown gown coat
10BF, TopsTexOnepieceAlinemydesignHCollar
10C0, TopsTexTopYshirtsmydesignLShirt
10C1, Red plover cardigan
10C2, Pink striped halter dress
10C3, White pocket tee
10C4, Vermilion miko attire
10C5, cosmos wreath
10C8, Brown corduroy skirt
10CB, Gray gaucho pants
10CC, Yellow retro sleeveless dress
10CE, Black tight-knit sweater
10CF, Black pleather skirt
10D2, Navy blue college cardigan
10D3, Camel fringe skirt
10D4, unfinished puzzle
10D5, destinations signpost
10D6, bridge marker kit
10D7, incline marker kit
10D8, Animal City
10D9, Farewell
10DA, Drivin'
10DB, はずれ01
10DC, はずれ02
10DD, はずれ03
10DE, Welcome Horizons
10DF, Plum hakama
10E0, Black front-tie tee
10E4, Black full-body tights
10E6, Navy blue denim painter's pants
10E7, Black gold-print tee
10E8, Avocado fishing waders
10E9, Pink silk floral-print pants
10EA, Green silk pants
10EB, Navy blue kung-fu pants
10EC, Pink magical dress
10ED, Brown grass skirt
10EE, Pink bolero coat
10F0, Blue office uniform
10F1, Black shattered glasses
10F2, portable record player
10F4, Black text shirt
10F5, Black full-length dress with pearls
10F6, Dark blue casual kimono
10F7, Red hawk jacket
10F8, Brown frugal dress
10F9, Brown frugal outfit
10FB, Black chic tuxedo dress
10FD, corral fence
10FE, country fence
1100, rope fence
1102, imperial fence
1104, straw fence
1105, iron fence
1106, spiky fence
1107, Pink fleece pj's
1108, Black long pleather coat
1109, Pink bath-towel wrap
110B, Black business suitcoat
110C, Orange bell-bottoms
110D, Black school jacket
110E, Black after-school jacket
1110, Red poncho coat
1111, Yellow frilly pants
1112, Light blue yacht shorts
1113, Green multicolor shorts
1114, White formal shorts
1115, Brown leopard miniskirt
1116, Red long plaid skirt
1117, snowflake wreath
1118, shell wreath
1119, ornament wreath
111A, fruit wreath
111B, springy ride-on
111D, football
111F, ToolBagWhite
1120, ToolBroomBamboo
1124, ToolCupCoffee
1126, ToolIcecandySoda
1128, magic kit
1129, old-fashioned washtub
112B, Black vampire costume
112C, Red loose fall dress
112E, Black noble pants
112F, Fancy plaid plaid-print dress
1131, Avocado bomber-style jacket
1132, Green camo bomber-style jacket
1133, Pink frilly dress
1135, Blue pineapple aloha shorts
1136, Yellow dollhouse dress
1137, Dark blue sea hanten shirt
1138, Black cropped pants
1139, Red Bohemian tunic dress
113A, Pink frilly skirt
113B, tailors construction kit
113C, cotton-candy stall
1141, Red faux-hair sweater
1142, Blue space parka
1143, Navy blue baseball shirt
1144, Navy blue parka undercoat
1145, Lime workout top
1146, Green mod parka
1147, Lime tee-parka combo
1148, Red oversized-sweats dress
1149, Blue eye mask
114A, money tree
114C, Brown tweed frilly skirt
114D, Pink heart apron
114E, Navy blue casual pants
114F, White sheep costume
1150, White sunflower dress
1151, Blue prince's tunic
1152, Brown camo skirt
1153, Black safety vest
1154, nursery money tree
1155, small young money tree
1156, medium young money tree
1157, large young money tree
1158, Black tailcoat
1159, diner mini table
115B, Green alpinist overalls
115C, Light blue culottes
115D, vintage TV tray
115E, Red folk shirt
115F, Green football shirt
1160, Blue skiwear
1161, White star costume
1162, Turquoise ski pants
1163, White doctor's mask
1164, White post-op patch
1165, White ski goggles
1166, Black goggles
1168, Yellow retro shades
1169, Black eye patch
116A, Black sporty shades
116B, Black pilot shades
116C, Brown tortoise specs
116D, Gold tiny shades
116E, Black monocle
116F, White 3D glasses
1170, Red ladder shades
1171, Blue animal-print coat
1172, Moss green layered sleeveless dress
1173, Black tiger-face tee dress
1174, Blue parka and shirtdress
1175, Green retro coat
1176, Baby mint baby romper
1177, Black tight punk outfit
1178, Yellow outdoor shorts
117B, Blue superhero uniform
117C, BottomsTexSkirtBoxSza01
1180, present
1183, White cat nose
1184, Red china poblana
1185, Red punk pants
1186, Red hula top
1187, Orange vibrant shorts
1188, Orange groovy tunic
1189, Black shawl-and-dress combo
118A, Brown patched-knee pants
118B, Green cucumber pack
1190, Red fake nose
1195, Black stache & glasses
1196, Purple tiered skirt
1197, Gray career jacket
1198, Gray career skirt
1199, Red draped skirt
119A, Pink pintuck-pleated dress
119B, Navy blue Chimayo vest
119E, Yellow birthday shades
11A0, White facial mask
11A1, Brown funny glasses
11A2, Blue & red cycling shorts
11A3, Blue surfing shorts
11A5, White lace shorts
11A6, Red athletic shorts
11A7, Green kurta
11A8, Yellow maxi shirtdress
11A9, Red pullover jacket
11AA, Blue muay-thai shorts
11AB, Black dotted shorts
11AC, Green tweed vest
11C1, Yellow belted wraparound skirt
11C2, pear bed
11C3, Green embroidered floral skirt
11C4, Blue embroidered-pattern skirt
11C5, fish bait
11C8, Red cyber shades
11C9, White checkered muffler
11CB, Gray long denim cardigan
11CC, Pink oversized print dress
11CD, Pink retro A-line dress
11CE, Yellow hip-wrap shirt
11CF, Black tee dress
11D0, Red sparkly embroidered tank
11D3, Black visual-punk outfit
11D5, Black pleather trench coat
11D6, Green reindeer sweater
11D7, Blue front-tie button-down shirt
11DA, Light blue floral lace dress
11DC, shaded floor lamp
11DE, Light blue top coat
11DF, Purple retro sweater
11E0, White cowboy shirt
11E1, Green caterpillar costume
11E2, Gray sweetheart tank and shirt
11E3, White house-print dress
11E8, Green forest-print dress
11EA, Red & white rugby uniform
11EC, Gray iron armor
11ED, Black long down coat
11EE, Gold gold armor
11F1, Green satin pants
11F2, Blue peacoat-and-skirt combo
11F3, Black rainbow sweater
11F4, Yellow casual chic dress
11F5, Red bottom-rimmed glasses
11F6, Purple boa blouson
11F7, Purple sleeveless tunic
11F8, Pink bunny nose
11F9, Purple coatigan
11FA, Camel corduroy pants
11FB, Red folk-dance outfit
11FC, Mint boa parka
11FD, Brown patchwork coat
11FE, Avocado balmacaan coat
11FF, Brown round tinted shades
1200, Blue butterfly shades
1201, Green oval glasses
1202, Brown earbuds combo
1203, Blue desert-princess outfit
1204, Light blue floral lace skirt
1205, Navy, light blue & pink colorful striped sweater
1206, Red flare skirt
1207, Green madras plaid shirt
1208, Purple zigzag-print dress
1209, Brown shorts outfit
1222, What was this again?
1223, What was this again?
1225, delivery
1226, Red pixel shades
1227, Pink pig nose
1228, Ice blue icy dress
1229, Black gas mask
122A, Blue cold-country dress
122B, anomalocaris
122C, White sticky rice
122D, Navy blue mariachi clothing
122F, Blue marble-print dress
1231, Pink shell dress
1232, right megalo side
1233, left megalo side
1234, dunkleosteus
1235, Purple poncho-style sweater
1236, myllokunmingia
1237, eusthenopteron
1238, acanthostega
1239, juramaia
123B, Purple masquerade mask
123C, White tunic tank
123D, Brown wooden-frame glasses
123F, Black privacy mask
